时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-03-05 00:00:12,主世界,LodgedSphinx459,-10366,-31,-850,使用物品点击方块,minecraft:water,-10365,-32,-848,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:00:12,主世界,LodgedSphinx459,-10366,-31,-850,放置方块,minecraft:water,-10365,-32,-848,
2023-03-05 00:00:19,主世界,LodgedSphinx459,-10367,-32,-847,捡起物品,Gunpowder,-10367,-34,-846,1个
2023-03-05 00:00:24,主世界,LodgedSphinx459,-10373,-35,-847,使用物品点击方块,minecraft:deepslate,-10375,-36,-848,使用物品：Water Bucket 类型：minecraft:water_bucket
2023-03-05 00:00:24,主世界,LodgedSphinx459,-10373,-35,-847,放置方块,minecraft:deepslate,-10375,-36,-848,
2023-03-05 00:00:26,主世界,LodgedSphinx459,-10374,-33,-847,使用物品点击方块,minecraft:deepslate,-10374,-35,-849,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:00:26,主世界,LodgedSphinx459,-10374,-33,-847,放置方块,minecraft:deepslate,-10374,-35,-849,
2023-03-05 00:00:28,主世界,LodgedSphinx459,-10375,-33,-847,使用物品点击方块,minecraft:water,-10374,-36,-848,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:00:28,主世界,LodgedSphinx459,-10375,-33,-847,放置方块,minecraft:water,-10374,-36,-848,
2023-03-05 00:00:29,主世界,LodgedSphinx459,-10375,-33,-847,使用物品点击方块,minecraft:deepslate,-10377,-29,-849,使用物品：Water Bucket 类型：minecraft:water_bucket
2023-03-05 00:00:29,主世界,LodgedSphinx459,-10375,-33,-847,放置方块,minecraft:deepslate,-10377,-29,-849,
2023-03-05 00:00:34,主世界,LodgedSphinx459,-10376,-27,-846,使用物品点击方块,minecraft:water,-10377,-29,-848,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:00:34,主世界,LodgedSphinx459,-10376,-27,-846,放置方块,minecraft:water,-10377,-29,-848,
2023-03-05 00:00:45,主世界,LodgedSphinx459,-10387,-19,-839,使用物品点击方块,minecraft:deepslate,-10389,-18,-840,使用物品：Water Bucket 类型：minecraft:water_bucket
2023-03-05 00:00:45,主世界,LodgedSphinx459,-10387,-19,-839,放置方块,minecraft:deepslate,-10389,-18,-840,
2023-03-05 00:00:48,主世界,LodgedSphinx459,-10388,-16,-839,使用物品点击方块,minecraft:water,-10388,-18,-840,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:00:48,主世界,LodgedSphinx459,-10388,-16,-839,放置方块,minecraft:water,-10388,-18,-840,
2023-03-05 00:00:59,主世界,LodgedSphinx459,-10392,-5,-829,使用物品点击方块,minecraft:deepslate,-10395,-5,-830,使用物品：Water Bucket 类型：minecraft:water_bucket
2023-03-05 00:00:59,主世界,LodgedSphinx459,-10392,-5,-829,放置方块,minecraft:deepslate,-10395,-5,-830,
2023-03-05 00:01:01,主世界,LodgedSphinx459,-10392,-3,-829,使用物品点击方块,minecraft:deepslate,-10394,-8,-833,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:01:01,主世界,LodgedSphinx459,-10392,-3,-829,放置方块,minecraft:deepslate,-10394,-8,-833,
2023-03-05 00:01:01,主世界,LodgedSphinx459,-10393,-3,-829,使用物品点击方块,minecraft:water,-10394,-5,-830,使用物品：Bucket 类型：minecraft:bucket
2023-03-05 00:01:01,主世界,LodgedSphinx459,-10393,-3,-829,放置方块,minecraft:water,-10394,-5,-830,
2023-03-05 00:02:03,主世界,LodgedSphinx459,-10468,-17,-771,使用物品,Diamond Pickaxe +5 1561 ,,,,类型：minecraft:diamond_pickaxe
2023-03-05 00:02:05,主世界,LodgedSphinx459,-10468,-17,-772,破坏方块,minecraft:deepslate,-10469,-20,-772,
2023-03-05 00:02:05,主世界,LodgedSphinx459,-10468,-18,-772,捡起物品,Cobbled Deepslate,-10468,-20,-772,1个
2023-03-05 00:02:25,主世界,LodgedSphinx459,-10462,-34,-755,使用物品,菜单,,,,类型：pa:menu
2023-03-05 00:02:26,主世界,LodgedSphinx459,-10462,-34,-755,使用物品,菜单,,,,类型：pa:menu
2023-03-05 00:02:27,主世界,LodgedSphinx459,-10462,-34,-755,使用物品,菜单,,,,类型：pa:menu
2023-03-05 00:02:27,主世界,LodgedSphinx459,-10462,-34,-755,使用物品,菜单,,,,类型：pa:menu
2023-03-05 00:02:29,主世界,LodgedSphinx459,-10462,-34,-755,使用物品,菜单,,,,类型：pa:menu
2023-03-05 00:02:30,主世界,LodgedSphinx459,-10462,-34,-755,玩家死亡,,,,,
2023-03-05 00:02:30,主世界,LodgedSphinx459,-10462,-34,-755,重生,,,,,
2023-03-05 00:02:34,主世界,LodgedSphinx459,-10284,69,-867,使用物品点击方块,minecraft:planks,-10280,68,-866,使用物品：Diamond Pickaxe +5 1561  类型：minecraft:diamond_pickaxe
2023-03-05 00:02:34,主世界,LodgedSphinx459,-10284,69,-867,放置方块,minecraft:planks,-10280,68,-866,
2023-03-05 00:02:34,主世界,LodgedSphinx459,-10284,69,-867,使用物品点击方块,minecraft:chest,-10282,67,-865,使用物品：Diamond Pickaxe +5 1561  类型：minecraft:diamond_pickaxe
2023-03-05 00:02:34,主世界,LodgedSphinx459,-10284,69,-867,打开容器,minecraft:chest,-10282,67,-865,
2023-03-05 00:02:34,主世界,LodgedSphinx459,-10284,69,-867,方块接受玩家互动,minecraft:chest,-10282,67,-865,
2023-03-05 00:02:41,主世界,LodgedSphinx459,-10284,69,-867,关闭容器,minecraft:chest,-10282,67,-865,
2023-03-05 00:02:47,主世界,LodgedSphinx459,-10305,71,-885,捡起物品,Gunpowder,-10306,69,-885,1个
